Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    4352       8325       0          3883       1.91
structure_refs      3833       1385       0          12         0.36
biomes              3833       124696     0          2772       32.53
terrain             3833       13789      1          131        3.60
surface             3833       5789       0          34         1.51
air_carvers         3833       3764       0          35         0.98
fluid_carvers       3833       69         0          1          0.02
decoration          3768       297589     2          222295     78.98
mob_spawns          3716       189        0          9          0.05
structure_searches  0          0          0          0          0.00
Sum                                                             119.94
